STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,LOCAL_REVENUE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,TOTAL_SCORE
36,1992,612555.75,2396705.0,211627.0,714562.0,401721.8333333333,194081.0,4859.0,220.0,268.0,220.0,261.09090909090907,969.090909090909
37,1992,549346.4166666666,2773959.0,163544.0,1822106.0,180400.75,230464.0,771.0,235.6,281.3636363636364,217.36363636363637,265.6363636363636,999.9636363636364
38,1992,1716808.3333333333,11257252.0,658139.0,6371790.0,891396.375,964457.0,4416.0,224.0,271.0,221.0,267.8,983.8
39,1992,146369.66666666666,883073.0,43545.0,509718.0,66222.375,14685.0,498.0,215.0,266.0,217.0,262.8181818181818,960.8181818181818
40,1992,687216.875,2842626.0,249903.0,1242575.0,337388.5416666667,261644.0,7045.0,212.0,261.0,210.0,258.3636363636364,941.3636363636364
41,1992,126969.91666666667,551668.0,60671.0,343163.0,47581.958333333336,65568.0,705.0,240.77777777777777,287.44444444444446,221.22222222222223,268.1111111111111,1017.5555555555554
42,1992,932274.75,3080490.0,308571.0,1466538.0,380082.5833333333,232437.0,9613.0,211.0,259.0,212.0,260.72727272727275,942.7272727272727
43,1992,4315420.0,16264180.0,1160185.0,8397036.0,1855044.2916666667,1833239.0,113197.0,218.0,265.0,213.0,260.27272727272725,956.2727272727273
44,1992,509474.2916666667,1555799.0,105349.0,577940.0,233118.5,155425.0,2611.0,224.0,274.0,220.0,265.6363636363636,983.6363636363636
45,1992,93466.625,812377.0,31757.0,576457.0,38614.0,25781.0,1780.0,243.0,289.2,227.0,272.0,1031.2
46,1992,1179632.4166666667,5631293.0,313971.0,3137189.0,482090.9583333333,523409.0,1976.0,221.0,268.0,221.0,266.90909090909093,976.909090909091
47,1992,1010686.9583333334,4870832.0,263053.0,1140000.0,415423.75,855759.0,5075.0,242.33333333333334,286.6666666666667,221.58333333333334,267.09090909090907,1017.6742424242425
48,1992,289128.2916666667,1585099.0,130117.0,433179.0,176013.375,156015.0,2308.0,215.0,259.0,216.0,258.09090909090907,948.090909090909
49,1992,867107.4166666666,4993909.0,217723.0,2570747.0,362524.7083333333,416449.0,16227.0,229.0,278.0,224.0,266.8,997.8
50,1992,91664.41666666667,629748.0,31714.0,283818.0,35421.0,60815.0,738.4705882352941,225.0,275.0,223.0,267.3636363636364,990.3636363636364
0,1993,727716.0,2827391.0,331409.0,766687.0,237222.0,204207.0,8264.0,226.0909090909091,264.1666666666667,212.6153846153846,255.0,957.8729603729604
1,1993,121156.0,1191398.0,176150.0,239419.0,36291.0,135791.0,2787.0,234.77777777777777,280.0,209.88888888888889,258.3333333333333,983.0
2,1993,676297.0,3427976.0,318465.0,1694104.0,164083.0,680139.0,3164.0,230.9090909090909,274.6666666666667,210.23076923076923,258.6363636363636,974.4428904428904
3,1993,311432.0,1346909.0,128196.0,447634.0,68617.0,97824.0,1248.0,231.54545454545453,269.75,214.69230769230768,258.8181818181818,974.8059440559439
4,1993,5129788.0,28043338.0,2151157.0,8828035.0,1608514.0,1944760.0,59954.0,227.9090909090909,269.1666666666667,208.23076923076923,255.0,960.3065268065268
5,1993,539538.0,3058326.0,147793.0,1668196.0,92163.0,318959.0,7249.0,239.4,283.1818181818182,222.66666666666666,267.6,1012.8484848484849
6,1993,471918.0,4064158.0,149204.0,2481415.0,143312.0,186802.0,6216.0,239.9090909090909,282.25,227.0,270.1818181818182,1019.340909090909
7,1993,104355.0,683954.0,44497.0,196207.0,26548.0,47372.0,565.0,237.2,277.1818181818182,220.3846153846154,263.6363636363636,998.4027972027972
8,1993,80937.0,721151.0,73882.0,647269.0,39819.0,38074.0,5216.0,216.54545454545453,251.16666666666666,197.0,242.8181818181818,907.530303030303
9,1993,1980569.0,11370156.0,947326.0,4901937.0,852220.0,1424334.0,34793.0,238.8,273.45454545454544,219.3846153846154,261.27272727272725,992.9118881118881
10,1993,893557.0,4716559.0,296231.0,2176748.0,260423.0,439808.0,5534.0,232.54545454545453,272.8333333333333,216.23076923076923,260.54545454545456,982.1550116550115
11,1993,177448.0,1062475.0,76183.0,23917.0,95700.0,82431.0,532.0,232.1818181818182,269.5833333333333,210.15384615384616,254.54545454545453,966.4644522144522
12,1993,231632.0,890835.0,72747.0,270634.0,41238.0,81359.0,1389.0,237.0,281.8333333333333,221.0,266.7,1006.5333333333333
13,1993,1856841.0,10584624.0,632724.0,6484829.0,426411.0,852085.0,42359.0,235.4,278.90909090909093,218.66666666666666,265.55555555555554,998.5313131313131
14,1993,958052.0,5833420.0,278090.0,2549796.0,268924.0,477709.0,3960.0,241.1818181818182,282.25,222.25,265.9,1011.5818181818182
15,1993,493957.0,2880731.0,131444.0,1450232.0,114390.0,196098.0,5430.0,240.0909090909091,283.8181818181818,222.53846153846155,266.55555555555554,1013.003108003108
16,1993,451469.0,2386945.0,123082.0,1098685.0,142268.0,195674.0,2432.0,242.6,286.1,222.0,266.8181818181818,1017.5181818181818
17,1993,489281.0,2381148.0,216900.0,634922.0,151526.0,127578.0,15732.0,233.63636363636363,274.3333333333333,220.84615384615384,265.54545454545456,994.3613053613053
18,1993,795719.0,3438321.0,397206.0,1164148.0,262609.0,173012.0,12857.0,226.63636363636363,265.5,207.23076923076923,254.63636363636363,954.0034965034964
19,1993,211511.0,1368095.0,77440.0,638491.0,67864.0,55490.0,1036.0,240.0,284.0,224.3846153846154,268.90909090909093,1017.2937062937062
20,1993,751850.0,4918010.0,252211.0,2725086.0,224147.0,324925.0,17984.0,236.8181818181818,278.9166666666667,220.84615384615384,265.72727272727275,1002.3082750582751
21,1993,862495.0,6121612.0,305113.0,3892178.0,191641.0,59238.0,13178.0,246.0,292.3636363636364,231.23076923076923,273.72727272727275,1043.3216783216783
22,1993,1600650.0,11034174.0,594226.0,7113200.0,715410.0,932700.0,11704.0,234.36363636363637,276.1666666666667,217.83333333333334,263.5,991.8636363636364
23,1993,781566.0,4862635.0,213724.0,2364805.0,466306.0,512196.0,6656.0,245.0,290.0,222.92307692307693,268.3,1026.2230769230769
24,1993,329408.0,1170109.0,174870.0,382938.0,89766.0,87575.0,2197.0,226.27272727272728,264.45454545454544,207.76923076923077,253.0909090909091,951.5874125874126
25,1993,834636.0,4196601.0,271548.0,1985823.0,227686.0,399553.0,13950.0,236.0909090909091,279.27272727272725,220.53846153846155,265.6363636363636,1001.5384615384615
26,1993,158875.0,813998.0,74386.0,294080.0,64200.0,49720.0,483.0,240.4,286.8181818181818,224.0,269.8181818181818,1021.0363636363636
27,1993,281354.0,1625242.0,94308.0,1021502.0,57564.0,141118.0,3577.0,238.0,282.9166666666667,222.5,267.6,1011.0166666666668
28,1993,222846.0,1148268.0,52876.0,342115.0,41799.0,195478.0,1237.0,232.0,272.8,211.36363636363637,256.09090909090907,972.2545454545455
29,1993,177722.0,1109743.0,34680.0,990721.0,34802.0,42172.0,1292.0,246.3,287.6363636363636,228.08333333333334,271.77777777777777,1033.7974747474748
30,1993,653488.0,6747567.0,331924.0,3311046.0,203775.0,342746.0,9225.0,244.0,286.90909090909093,227.1818181818182,271.8888888888889,1029.9797979797981
31,1993,281407.0,1217194.0,154018.0,165451.0,62453.0,128202.0,1933.0,226.27272727272728,266.25,207.3846153846154,253.9090909090909,953.8164335664335
32,1993,2663637.0,22688753.0,1276362.0,12563921.0,935895.0,1625848.0,31687.0,235.36363636363637,277.0833333333333,220.6153846153846,264.3636363636364,997.4259906759908
33,1993,1112636.0,5583166.0,433602.0,1761098.0,345822.0,480317.0,8469.0,238.9090909090909,277.8333333333333,219.23076923076923,261.90909090909093,997.8822843822845
34,1993,118793.0,580148.0,56254.0,280111.0,44647.0,41585.0,615.0,241.1818181818182,287.5,224.33333333333334,267.7,1020.7151515151515
35,1993,1834239.0,10841606.0,509488.0,6176048.0,451400.0,588386.0,17210.0,239.45454545454547,282.25,223.1818181818182,267.7,1012.5863636363638
36,1993,312817.0,1436505.0,99809.0,533913.0,113582.0,113949.0,5456.0,233.72727272727272,273.0,216.75,261.09090909090907,984.5681818181818
37,1993,509814.0,3141217.0,196584.0,1763935.0,98785.0,209804.0,837.0,235.6,281.3636363636364,217.36363636363637,265.6363636363636,999.9636363636364
38,1993,1719829.0,12269422.0,695807.0,6792207.0,684867.0,966827.0,4181.0,240.8,282.0,223.08333333333334,267.8,1013.6833333333334
39,1993,138939.0,919594.0,46215.0,521867.0,11541.0,12708.0,465.0,234.0909090909091,274.4166666666667,220.15384615384616,262.8181818181818,991.4796037296037
40,1993,631613.0,3031112.0,277419.0,1333732.0,269661.0,221824.0,7244.0,232.8181818181818,275.8181818181818,213.07692307692307,258.3636363636364,980.0769230769231
41,1993,107050.0,465650.0,52787.0,292012.0,22308.0,43632.0,612.0,240.77777777777777,287.44444444444446,221.22222222222223,268.1111111111111,1017.5555555555554
42,1993,844668.0,3268642.0,334410.0,1399205.0,209586.0,248037.0,9542.0,231.54545454545453,272.54545454545456,215.53846153846155,260.72727272727275,980.3566433566434
43,1993,3535333.0,20267205.0,1233446.0,9114198.0,971683.0,2989512.0,120446.0,238.36363636363637,279.25,216.3846153846154,260.27272727272725,994.270979020979
44,1993,462323.0,1638305.0,116791.0,592918.0,128758.0,207312.0,2690.0,238.0909090909091,281.6363636363636,221.07692307692307,265.6363636363636,1006.4405594405595
45,1993,97454.0,837540.0,34179.0,586583.0,22698.0,15655.0,2024.0,243.0,289.2,227.0,272.0,1031.2
46,1993,1032842.0,5918536.0,365601.0,3194224.0,303062.0,488487.0,3186.0,240.9090909090909,282.4166666666667,224.23076923076923,266.90909090909093,1014.4656177156178
47,1993,896197.0,5270961.0,284396.0,1266342.0,235224.0,942214.0,5087.0,242.33333333333334,286.6666666666667,221.58333333333334,267.09090909090907,1017.6742424242425
48,1993,317719.0,1832154.0,140913.0,470978.0,116349.0,171484.0,3981.0,231.1818181818182,268.6666666666667,215.6153846153846,258.09090909090907,973.5547785547785
49,1993,829085.0,5357945.0,226234.0,2926067.0,193368.0,500029.0,17270.0,241.0,285.3636363636364,221.66666666666666,266.8,1014.830303030303
50,1993,100313.0,615130.0,35437.0,271010.0,21047.0,48076.0,738.4705882352941,241.45454545454547,283.3333333333333,223.69230769230768,267.3636363636364,1015.8438228438227
0,1994,730004.0,2970223.0,331823.0,787506.0,306977.0,231508.0,9051.0,226.0909090909091,264.1666666666667,208.0,255.0,953.2575757575758
1,1994,123868.0,1052282.0,134168.0,249885.0,36589.0,98486.0,2593.0,234.77777777777777,280.0,209.88888888888889,258.3333333333333,983.0
2,1994,708482.0,3566586.0,348847.0,1739367.0,183778.0,696618.0,3540.0,230.9090909090909,274.6666666666667,206.0,258.6363636363636,970.2121212121212
